OA-9255,ORD,YUL,Monday,18:45,292,396.00
TB-6339,YUL,FRA,Monday,1:15,169,741.00
TB-6221,YEG,CDG,Sunday,21:00,169,1456.00
OA-5943,YVR,YYC,Thursday,22:45,78,230.00
TB-9974,FRA,DFW,Sunday,21:00,174,1160.00
TB-8032,FRA,YEG,Sunday,2:15,292,686.00
CA-1951,HKG,DFW,Thursday,17:45,255,714.00
OA-7540,ORD,DEL,Wednesday,2:15,255,1197.00
VA-5345,YWG,FRA,Tuesday,18:15,174,1139.00
CA-7076,PEK,AMS,Thursday,21:15,255,924.00
OA-5331,ATL,YUL,Saturday,21:15,292,446.00
CA-6637,DEL,DFW,Friday,11:45,174,971.00
VA-4453,ATL,ORD,Wednesday,13:00,255,162.00
TB-1124,LHR,DFW,Wednesday,14:30,292,892.00
TB-8477,YWG,YOW,Tuesday,10:15,76,399.00
CA-9685,LHR,YYZ,Tuesday,12:15,174,914.00
VA-2735,AMS,ORD,Thursday,20:00,255,1185.00
OA-9698,DXB,YUL,Tuesday,23:30,255,716.00
VA-2705,FRA,YYC,Friday,23:30,174,1210.00
TB-1475,LHR,PVG,Monday,16:00,292,510.00
VA-9764,YVR,LHR,Saturday,16:30,174,899.00
TB-5005,YVR,YUL,Saturday,20:00,78,402.00
OA-1485,YWG,LHR,Monday,8:45,169,1331.00
TB-3930,YWG,YUL,Tuesday,20:00,78,468.00
TB-9390,DEL,ORD,Monday,14:45,292,905.00
VA-6045,DXB,YOW,Sunday,7:15,292,2177.00
VA-7798,YYZ,YOW,Saturday,16:30,78,210.00
CA-2553,PVG,PEK,Tuesday,0:15,255,436.00
CA-8768,CDG,YYC,Sunday,6:00,255,1267.00
TB-3209,PVG,YVR,Wednesday,22:30,174,1059.00
TB-9710,FRA,DEL,Saturday,13:15,169,489.00
VA-3957,YYC,CDG,Monday,10:30,174,1013.00
TB-7616,YYC,DEL,Saturday,10:45,169,1242.00
OA-5332,YVR,HND,Wednesday,14:30,174,861.00
TB-7572,PVG,HND,Tuesday,7:45,169,484.00
CA-8765,HKG,ORD,Thursday,3:00,169,736.00
CA-4944,YWG,HND,Monday,14:30,292,1083.00
TB-1367,PVG,HKG,Saturday,12:30,292,325.00
VA-8865,FRA,YYZ,Tuesday,12:45,255,503.00
VA-3623,YWG,DFW,Saturday,15:00,292,823.00
TB-6828,YEG,AMS,Tuesday,5:00,174,1193.00
CA-3796,LHR,DFW,Thursday,14:30,292,892.00
CA-3342,HKG,YUL,Wednesday,9:30,292,822.00
TB-6372,YVR,ORD,Wednesday,18:15,169,309.00
OA-9032,LHR,AMS,Wednesday,4:00,255,109.00
VA-5671,ORD,PVG,Thursday,22:00,169,851.00
VA-8117,DEL,CDG,Thursday,8:30,255,421.00
VA-1585,DEL,YVR,Wednesday,7:30,174,868.00
CA-8237,DFW,AMS,Tuesday,15:30,169,631.00
OA-7611,ATL,ORD,Tuesday,13:00,255,162.00
OA-7950,DFW,YYZ,Tuesday,20:00,174,369.00
VA-9330,PEK,FRA,Thursday,6:15,169,635.00
TB-4368,YUL,YWG,Monday,3:45,78,265.00
CA-3298,LHR,FRA,Saturday,21:45,292,119.00
CA-8779,YWG,YYC,Saturday,10:00,78,200.00
TB-7881,LHR,ORD,Tuesday,17:30,255,747.00
CA-7319,YWG,YEG,Friday,18:15,50,442.00
TB-3281,FRA,DFW,Saturday,21:00,174,1160.00
VA-6163,AMS,PVG,Wednesday,19:45,169,934.00
TB-6320,YWG,AMS,Friday,18:30,292,1123.00
TB-9704,ORD,HND,Thursday,0:45,169,1113.00
VA-6949,AMS,YYC,Thursday,7:15,292,1884.00
CA-2856,DFW,YWG,Tuesday,2:15,255,916.00
OA-9689,PVG,DFW,Saturday,8:00,255,849.00
OA-3739,YEG,FRA,Tuesday,9:15,255,1252.00
VA-3039,HND,PEK,Thursday,10:15,292,746.00
CA-2938,CDG,YVR,Monday,3:15,174,1385.00
CA-4750,YYZ,DFW,Sunday,11:45,292,525.00
VA-8989,AMS,YUL,Thursday,5:30,169,674.00
CA-8006,ATL,HKG,Tuesday,15:45,174,1203.00
OA-3523,DXB,DFW,Sunday,5:45,174,774.00
OA-1563,YUL,PVG,Tuesday,9:45,174,802.00
VA-7795,CDG,HND,Sunday,20:00,174,775.00
CA-3726,YUL,DEL,Friday,20:45,255,896.00
CA-5083,YWG,PEK,Monday,19:15,255,962.00
VA-9179,DEL,HKG,Saturday,1:15,292,181.00
OA-7977,DEL,DXB,Monday,4:15,169,354.00
OA-8984,HKG,LHR,Wednesday,12:45,255,646.00
CA-1126,YVR,CDG,Saturday,3:45,255,906.00
TB-4154,ATL,YYZ,Thursday,14:30,292,337.00
CA-2603,LHR,YYC,Wednesday,7:45,169,835.00
OA-3693,YUL,AMS,Tuesday,0:15,255,813.00
CA-7196,YYC,HKG,Thursday,3:15,169,842.00
VA-4562,AMS,YOW,Saturday,22:30,292,861.00
OA-2001,CDG,ATL,Friday,16:00,169,954.00
OA-6126,ORD,DXB,Thursday,20:45,292,1033.00
